frame,label,confidence,x1,y1,x2,y2,track_id
1,person,0.7671,533,687,578,787,1
1,person,0.7653,222,514,255,596,2
1,person,0.7565,995,455,1028,526,3
1,person,0.7442,1572,609,1614,697,4
1,person,0.7039,358,719,393,826,5
1,person,0.6959,588,589,628,671,6
1,person,0.6890,1853,806,1895,918,7
1,person,0.6818,127,970,167,1080,8
1,person,0.6780,329,495,365,569,9
1,person,0.6755,1234,432,1263,500,10
1,person,0.6307,1370,813,1443,901,11
1,person,0.6247,850,637,900,721,12
1,person,0.6145,375,304,399,367,13
1,person,0.6137,874,361,905,425,14
1,person,0.5613,1278,394,1304,467,15
1,person,0.5123,1033,931,1078,1056,16
1,person,0.5079,1161,357,1186,413,17
1,person,0.5032,1122,707,1196,798,18
1,person,0.4855,1308,448,1353,518,19
1,person,0.4555,691,994,733,1080,20
1,sports ball,0.3856,1185,850,1205,867,21
2,person,0.7669,532,687,578,787,1
2,person,0.7671,222,514,254,596,2
2,person,0.7574,995,455,1028,526,3
2,person,0.7452,1572,610,1614,697,4
2,person,0.7040,358,719,393,826,5
2,person,0.6960,588,589,628,671,6
2,person,0.6874,1853,806,1895,918,7
2,person,0.6828,127,970,167,1080,8
2,person,0.6798,329,495,365,569,9
2,person,0.6750,1234,432,1263,500,10
2,person,0.6335,1370,813,1443,901,11
2,person,0.6278,850,637,900,721,12
2,person,0.6165,375,304,399,367,13
2,person,0.6211,874,361,905,425,14
2,person,0.5576,1278,394,1304,467,15
2,person,0.4703,1037,932,1073,1030,16
2,person,0.5133,1161,357,1186,413,17
2,person,0.5109,1122,707,1196,798,18
2,person,0.4895,1308,447,1353,518,19
2,person,0.4491,691,994,733,1080,20
2,sports ball,0.3839,1185,850,1205,867,21
3,person,0.7941,534,688,580,788,1
3,person,0.7504,222,515,254,595,2
3,person,0.7614,996,455,1028,526,3
3,person,0.7597,1575,611,1616,696,4
3,person,0.7156,359,721,394,826,5
3,person,0.7414,593,590,633,672,6
3,person,0.6894,1852,806,1894,918,7
3,person,0.6806,127,970,167,1080,8
3,person,0.6982,329,494,366,568,9
3,person,0.6929,1235,432,1264,501,10
3,person,0.7120,1369,815,1441,902,11
3,person,0.6711,856,639,906,723,12
3,person,0.6046,375,305,399,367,13
3,person,0.5674,876,361,906,425,14
3,person,0.5669,1280,394,1307,467,15
3,person,0.5034,1042,932,1072,1013,16
3,person,0.4989,1164,357,1188,413,17
3,person,0.4625,1123,709,1196,798,18
3,person,0.6071,1308,448,1353,517,19
3,person,0.5069,691,994,732,1080,20
4,person,0.7948,534,689,580,789,1
4,person,0.7310,223,515,255,595,2
4,person,0.7580,997,455,1029,527,3
4,person,0.7265,1578,612,1621,700,4
4,person,0.6758,358,724,393,828,5
4,person,0.7386,598,590,638,672,6
4,person,0.6928,1852,806,1894,918,7
4,person,0.6850,127,970,167,1080,8
4,person,0.6797,330,493,367,568,9
4,person,0.6900,1235,433,1265,502,10
4,person,0.6854,1367,817,1439,904,11
4,person,0.7062,863,642,912,724,12
4,person,0.6180,375,306,399,369,13
4,person,0.5798,878,362,908,424,14
4,person,0.4558,1283,395,1309,467,15
4,person,0.4931,1044,932,1073,1010,16
4,person,0.5621,1168,357,1191,412,17
4,person,0.6834,1311,449,1356,517,19
4,person,0.5407,692,994,733,1080,20
4,person,0.4071,775,367,805,486,23
5,person,0.8042,534,689,580,789,1
5,person,0.7588,225,515,257,596,2
5,person,0.7763,998,456,1030,528,3
5,person,0.7152,1581,612,1626,705,4
5,person,0.6730,358,726,393,830,5
5,person,0.7142,602,591,642,673,6
5,person,0.6832,1852,807,1893,917,7
5,person,0.6876,127,970,167,1080,8
5,person,0.6918,331,492,368,568,9
5,person,0.6371,1237,435,1266,502,10
5,person,0.6332,1361,817,1432,904,11
5,person,0.7508,872,641,921,725,12
5,person,0.5329,375,307,398,369,13
5,person,0.6551,880,361,910,425,14
5,person,0.5392,1284,395,1311,469,15
5,person,0.4884,1044,931,1074,1011,16
5,person,0.6486,1170,356,1194,412,17
5,person,0.7199,1314,448,1360,517,19
5,person,0.5041,693,993,734,1080,20
5,person,0.4154,1903,379,1919,444,22
6,person,0.8051,535,689,581,789,1
6,person,0.7669,226,515,258,596,2
6,person,0.7502,999,456,1033,529,3
6,person,0.7169,1583,614,1630,712,4
6,person,0.6812,358,729,392,833,5
6,person,0.7294,605,590,647,675,6
6,person,0.6916,1852,807,1893,916,7
6,person,0.6793,126,970,167,1080,8
6,person,0.6842,333,492,369,568,9
6,person,0.6564,1239,435,1268,501,10
6,person,0.6064,1354,820,1421,904,11
6,person,0.7513,880,641,929,727,12
6,person,0.4928,374,307,398,369,13
6,person,0.6092,883,363,912,425,14
6,person,0.6001,1286,395,1313,468,15
6,person,0.5240,1040,932,1081,1040,16
6,person,0.6471,1172,355,1197,413,17
6,person,0.5570,1134,709,1206,797,18
6,person,0.6805,1319,447,1364,517,19
6,person,0.4206,1903,380,1919,443,22
6,person,0.4224,774,370,805,490,23
7,person,0.8203,536,689,581,789,1
7,person,0.7858,227,516,259,597,2
7,person,0.7307,1001,457,1034,531,3
7,person,0.7598,1587,616,1634,716,4
7,person,0.6873,358,731,393,835,5
7,person,0.7668,609,588,653,678,6
7,person,0.6867,1852,807,1893,915,7
7,person,0.6786,126,970,166,1080,8
7,person,0.7206,335,492,371,568,9
7,person,0.6819,1241,435,1270,501,10
7,person,0.6706,1347,822,1415,908,11
7,person,0.7455,887,639,938,729,12
7,person,0.5742,374,307,398,369,13
7,person,0.6336,886,362,914,424,14
7,person,0.6185,1287,395,1314,467,15
7,person,0.5458,1039,931,1083,1050,16
7,person,0.6146,1175,354,1201,413,17
7,person,0.5124,1144,709,1219,801,18
7,person,0.6399,1323,448,1368,517,19
7,person,0.4156,694,992,736,1080,20
7,person,0.4335,1903,380,1919,443,22
7,person,0.4620,774,370,805,492,23
8,person,0.8331,537,689,582,789,1
8,person,0.8034,228,517,260,597,2
8,person,0.7372,1003,459,1036,532,3
8,person,0.7722,1591,620,1638,720,4
8,person,0.6746,357,733,392,837,5
8,person,0.7098,615,590,659,681,6
8,person,0.6929,1852,807,1893,915,7
8,person,0.6816,126,970,166,1080,8
8,person,0.7259,338,493,373,568,9
8,person,0.6818,1243,434,1273,503,10
8,person,0.6823,1343,825,1410,910,11
8,person,0.7530,895,639,945,728,12
8,person,0.5628,374,307,398,369,13
8,person,0.6971,888,361,917,425,14
8,person,0.5469,1289,396,1316,466,15
8,person,0.4911,1046,930,1082,1027,16
8,person,0.6260,1178,355,1204,413,17
8,person,0.6922,1155,709,1235,805,18
8,person,0.6856,1328,448,1373,517,19
8,person,0.4886,695,992,737,1080,20
8,person,0.4306,1903,381,1919,443,22
8,person,0.4881,774,370,805,493,23
8,person,0.4798,1097,310,1121,362,25
9,person,0.8200,537,689,582,790,1
9,person,0.8038,229,517,261,597,2
9,person,0.7048,1005,459,1037,532,3
9,person,0.7800,1595,623,1641,722,4
9,person,0.6679,356,735,391,839,5
9,person,0.7060,621,593,663,682,6
9,person,0.6912,1852,807,1893,915,7
9,person,0.6729,126,970,166,1080,8
9,person,0.7017,339,494,374,571,9
9,person,0.6469,1245,435,1275,503,10
9,person,0.6864,1334,827,1402,913,11
9,person,0.6860,901,638,954,731,12
9,person,0.5491,374,307,398,369,13
9,person,0.6927,891,363,919,425,14
9,person,0.5562,1290,396,1318,466,15
9,person,0.4193,1050,930,1083,1016,16
9,person,0.5847,1181,355,1207,414,17
9,person,0.5333,1164,708,1249,810,18
